n,index,name,type,count,count_measure,source_id,price_current,price_current_currency,price_old,price_old_currency,url_detail,source,load_date,category,webfilter
38,index,Сумка поясная узкая Powerup Elastic / Черный,Сумка поясная узкая ,3,шт,16962,1000,₽,1000,₽,/product/sumka_poyasnaya_uzkaya_powerup_elastic_chernyy/,https://velosport.ru/,2023-11-04 05:15:04.803069,ryukzaki_i_sumki,discount
39,index,Фляга Cinelli Elite Waterbottle Circolo Cicl. Cinelli Iuter 550ml,Фляга ,5,шт,21718,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_circolo_cicl_cinelli_iuter_550ml/,https://velosport.ru/,2023-11-04 05:15:03.263766,flyagi,popular
40,index,Фляга Cinelli Elite Waterbottle Circolo Cicl. Cinelli Iuter 550ml,Фляга ,5,шт,21718,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_circolo_cicl_cinelli_iuter_550ml/,https://velosport.ru/,2023-11-04 05:15:03.686815,flyagi,discount
41,index,Фляга Cinelli Elite Waterbottle Circolo Cicl. Cinelli Iuter 550ml,Фляга ,5,шт,21718,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_circolo_cicl_cinelli_iuter_550ml/,https://velosport.ru/,2023-11-04 05:15:04.259606,flyagi,new
42,index,Фляга Cinelli Elite Waterbottle House Ind. Tubography 550мл / Черный,Фляга ,10,шт,18196,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_house_ind_tubography_550ml_chernyy/,https://velosport.ru/,2023-11-04 05:15:03.278818,flyagi,popular
43,index,Фляга Cinelli Elite Waterbottle House Ind. Tubography 550мл / Черный,Фляга ,10,шт,18196,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_house_ind_tubography_550ml_chernyy/,https://velosport.ru/,2023-11-04 05:15:03.693154,flyagi,discount
44,index,Фляга Cinelli Elite Waterbottle House Ind. Tubography 550мл / Черный,Фляга ,10,шт,18196,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_house_ind_tubography_550ml_chernyy/,https://velosport.ru/,2023-11-04 05:15:04.264822,flyagi,new
45,index,Фляга Elite Syssa Race нержавеющая сталь 750мл / Черный,Фляга ,52,шт,17051,1620,₽,1620,₽,/product/flyaga_elite_syssa_race_nerzhaveyushchaya_stal_750ml_chernyy/,https://velosport.ru/,2023-11-04 05:15:03.307465,flyagi,popular
46,index,Фляга Elite Syssa Race нержавеющая сталь 750мл / Черный,Фляга ,52,шт,17051,1620,₽,1620,₽,/product/flyaga_elite_syssa_race_nerzhaveyushchaya_stal_750ml_chernyy/,https://velosport.ru/,2023-11-04 05:15:03.715594,flyagi,discount
47,index,Фляга Elite Syssa Race нержавеющая сталь 750мл / Черный,Фляга ,52,шт,17051,1620,₽,1620,₽,/product/flyaga_elite_syssa_race_nerzhaveyushchaya_stal_750ml_chernyy/,https://velosport.ru/,2023-11-04 05:15:04.279556,flyagi,new
48,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Зеленый,Фляга-термос ,6,шт,17053,4160,₽,3880,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_zelenyy/,https://velosport.ru/,2023-11-04 05:15:03.291863,flyagi,popular
49,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Зеленый,Фляга-термос ,6,шт,17053,4160,₽,3880,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_zelenyy/,https://velosport.ru/,2023-11-04 05:15:03.703166,flyagi,discount
50,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Зеленый,Фляга-термос ,6,шт,17053,4160,₽,3880,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_zelenyy/,https://velosport.ru/,2023-11-04 05:15:04.271530,flyagi,new
51,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Черный,Фляга-термос ,10,шт,17052,4760,₽,4760,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_chernyy/,https://velosport.ru/,2023-11-04 05:15:03.295968,flyagi,popular
52,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Черный,Фляга-термос ,10,шт,17052,4760,₽,4760,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_chernyy/,https://velosport.ru/,2023-11-04 05:15:03.708408,flyagi,discount
53,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Черный,Фляга-термос ,10,шт,17052,4760,₽,4760,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_chernyy/,https://velosport.ru/,2023-11-04 05:15:04.276167,flyagi,new
